TF_ID	col_amp	TF_Symbol1	TF_Symbol2	Chr	Start	End	Effect	targetChr	targetStart	targetEnd	targetLen	targetID	targetID2	DistanceTSS	targetSymbol
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	1	29944264	29944464	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-551	SMB
AT2G01930	BPC1_col	BBRBPC	BPC1	1	29943569	29943769	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	0	SMB
AT2G01930	BPC1_colamp	BBRBPC	BPC1	1	29943575	29943775	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	0	SMB
AT2G01930	BPC1_colamp	BBRBPC	BPC1	1	29943481	29943681	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT2G01930	BPC1_colamp	BBRBPC	BPC1	1	29943288	29943488	Promoter (<=1kb)	1	29940896	29943442	2547	AT1G79580	AT1G79580.5	0	SMB
AT1G69180	CRC_col	C2C2YABBY	CRC	1	29944179	29944379	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-466	SMB
AT2G18380	GATA20_colamp	C2C2gata	GATA20	1	29943811	29944011	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-98	SMB
AT3G60580	At3g60580_col	C2H2	ZAT9	1	29944240	29944440	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-527	SMB
AT5G04390	At5g04390_col	C2H2	AT5G04390	1	29944214	29944414	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-501	SMB
AT1G27730	STZ_col	C2H2	STZ	1	29944211	29944411	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-498	SMB
AT1G27730	STZ_colamp	C2H2	STZ	1	29944215	29944415	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-502	SMB
AT1G51220	WIP5_colamp	C2H2	WIP5	1	29943151	29943351	Promoter (<=1kb)	1	29940896	29943442	2547	AT1G79580	AT1G79580.5	91	SMB
AT2G45420	LBD18_colamp	LOBAS2	LBD18	1	29944463	29944663	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-750	SMB
AT2G22540	SVP_col	MADS	SVP	1	29944543	29944743	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-830	SMB
AT5G58850	MYB119_col	MYB	MYB119	1	29944800	29945000	Promoter (1-2kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-1087	SMB
AT4G32730	MYB3R1_col	MYB	PC-MYB1	1	29944613	29944813	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-900	SMB
AT4G32730	MYB3R1_colamp	MYB	PC-MYB1	1	29944583	29944783	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-870	SMB
AT1G72740	AT1G72740_colamp	MYBrelated	AT1G72740	1	29943912	29944112	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-199	SMB
AT4G01280	At4g01280_colamp	MYBrelated	RVE5	1	29944063	29944263	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-350	SMB
AT1G01060	LHY1_col	MYBrelated	LHY	1	29944008	29944208	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-295	SMB
AT1G02230	ANAC004_colamp	NAC	NAC004	1	29943219	29943419	Promoter (<=1kb)	1	29940896	29943442	2547	AT1G79580	AT1G79580.5	23	SMB
AT1G02250	ANAC005_col	NAC	NAC005	1	29943218	29943418	Promoter (<=1kb)	1	29940896	29943442	2547	AT1G79580	AT1G79580.5	24	SMB
AT1G65910	ANAC028_col	NAC	NAC028	1	29943447	29943647	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT3G03200	ANAC045_col	NAC	NAC045	1	29943445	29943645	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT3G03200	ANAC045_colamp	NAC	NAC045	1	29943447	29943647	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT4G10350	ANAC070_col	NAC	NAC070	1	29944135	29944335	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-422	SMB
AT4G10350	ANAC070_colamp	NAC	NAC070	1	29944135	29944335	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-422	SMB
AT4G17980	ANAC071_col	NAC	NAC071	1	29943492	29943692	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT4G17980	ANAC071_colamp	NAC	NAC071	1	29943446	29943646	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT5G13180	ANAC083_col	NAC	NAC083	1	29944134	29944334	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-421	SMB
AT5G13180	ANAC083_colamp	NAC	NAC083	1	29944135	29944335	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-422	SMB
AT2G46770	NST1_col	NAC	NST1	1	29944139	29944339	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-426	SMB
AT2G46770	NST1_col	NAC	NST1	1	29943495	29943695	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT2G46770	NST1_colamp	NAC	NST1	1	29944135	29944335	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-422	SMB
AT4G01540	NTM1_col	NAC	NTM1	1	29943219	29943419	Promoter (<=1kb)	1	29940896	29943442	2547	AT1G79580	AT1G79580.5	23	SMB
AT1G79580	SMB_col	NAC	SMB	4	16636678	16636878	Promoter (<=1kb)	4	16637322	16638962	1641	AT4G34930	AT4G34930.1	-444	AT4G34930
AT1G79580	SMB_col	NAC	SMB	1	25443197	25443397	Promoter (<=1kb)	1	25442256	25442876	621	AT1G67855	AT1G67855.1	-321	AT1G67855
AT1G79580	SMB_col	NAC	SMB	2	10826442	10826642	Promoter (<=1kb)	2	10826735	10829402	2668	AT2G25440	AT2G25440.1	-93	RLP20
AT1G79580	SMB_col	NAC	SMB	4	785553	785753	Promoter (<=1kb)	4	780646	785340	4695	AT4G01820	AT4G01820.1	-213	ABCB3
AT1G79580	SMB_col	NAC	SMB	4	1412496	1412696	Promoter (<=1kb)	4	1412785	1414782	1998	AT4G03205	AT4G03205.2	-89	HEMF2
AT1G79580	SMB_col	NAC	SMB	5	26971439	26971639	Promoter (<=1kb)	5	26971389	26971689	301	AT5G09955	AT5G09955.1	50	NA
AT1G79580	SMB_col	NAC	SMB	5	24669279	24669479	Promoter (1-2kb)	5	24670792	24671868	1077	AT5G61360	AT5G61360.1	-1313	AT5G61360
AT1G79580	SMB_col	NAC	SMB	3	20424752	20424952	Promoter (1-2kb)	3	20420279	20423114	2836	AT3G55100	AT3G55100.1	-1638	ABCG17
AT1G79580	SMB_col	NAC	SMB	3	9636387	9636587	Promoter (1-2kb)	3	9632608	9634822	2215	AT3G26290	AT3G26290.2	-1565	CYP71B26
AT1G79580	SMB_col	NAC	SMB	1	25568055	25568255	Promoter (1-2kb)	1	25570092	25571733	1642	AT1G68220	AT1G68220.1	-1837	AT1G68220
AT1G79580	SMB_col	NAC	SMB	2	15089320	15089520	Promoter (<=1kb)	2	15090519	15091764	1246	AT2G35945	AT2G35945.1	-999	AT2G35945
AT1G79580	SMB_col	NAC	SMB	5	22658947	22659147	Promoter (<=1kb)	5	22655998	22658084	2087	AT5G55940	AT5G55940.1	-863	EMB2731
AT1G79580	SMB_col	NAC	SMB	5	1766760	1766960	Promoter (<=1kb)	5	1767630	1769477	1848	AT5G05870	AT5G05870.1	-670	UGT76C1
AT1G79580	SMB_col	NAC	SMB	5	8851118	8851318	Promoter (<=1kb)	5	8851047	8854491	3445	AT5G25430	AT5G25430.1	71	AT5G25430
