TF_ID	col_amp	TF_Symbol1	TF_Symbol2	Chr	Start	End	Effect	targetChr	targetStart	targetEnd	targetLen	targetID	targetID2	DistanceTSS	targetSymbol
AT5G60130	AT5G60130_col	ABI3VP1	AT5G60130	1	29944264	29944464	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-551	SMB
AT2G01930	BPC1_col	BBRBPC	BPC1	1	29943569	29943769	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	0	SMB
AT2G01930	BPC1_colamp	BBRBPC	BPC1	1	29943575	29943775	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	0	SMB
AT2G01930	BPC1_colamp	BBRBPC	BPC1	1	29943481	29943681	Promoter (<=1kb)	1	29940803	29943498	2696	AT1G79580	AT1G79580.1	0	SMB
AT2G01930	BPC1_colamp	BBRBPC	BPC1	1	29943288	29943488	Promoter (<=1kb)	1	29940896	29943442	2547	AT1G79580	AT1G79580.5	0	SMB
AT1G69180	CRC_col	C2C2YABBY	CRC	1	29944179	29944379	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-466	SMB
AT2G18380	GATA20_colamp	C2C2gata	GATA20	1	29943811	29944011	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-98	SMB
AT3G60580	At3g60580_col	C2H2	ZAT9	1	29944240	29944440	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-527	SMB
AT5G04390	At5g04390_col	C2H2	AT5G04390	1	29944214	29944414	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-501	SMB
AT1G27730	STZ_col	C2H2	STZ	1	29944211	29944411	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-498	SMB
AT1G27730	STZ_colamp	C2H2	STZ	1	29944215	29944415	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-502	SMB
AT1G51220	WIP5_colamp	C2H2	WIP5	1	29943151	29943351	Promoter (<=1kb)	1	29940896	29943442	2547	AT1G79580	AT1G79580.5	91	SMB
AT2G45420	LBD18_colamp	LOBAS2	LBD18	1	29944463	29944663	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-750	SMB
AT2G22540	SVP_col	MADS	SVP	1	29944543	29944743	Promoter (<=1kb)	1	29940803	29943713	2911	AT1G79580	AT1G79580.3	-830	SMB
